000  18.858036 -81.128975 -23.606602  13.010617
001  16.998516 -81.354515 -21.949112  13.102768
002  16.524817 -81.920792 -24.212280  13.645123
003  17.891808 -81.807404 -25.753733  13.707015
004  15.814646 -81.994926 -26.443844  13.876040
005  14.868164 -81.764824 -23.987507  13.476151
006  17.796526 -81.653458 -27.322113  13.739203
007  23.028759 -81.170578 -26.179924  14.229475
008  21.826744 -81.608780 -25.789783  14.222083
009  21.839317 -81.773628 -27.973875  14.700763
010  20.323580 -82.053268 -27.121010  14.470782
011  23.192593 -80.883881 -29.188044  14.561630
012  20.528185 -81.806870 -30.285810  14.918279
013  22.234770 -81.337135 -30.398911  14.966582
014  19.188587 -81.977936 -29.340048  14.595372
015  21.213585 -81.090508 -32.438770  15.045489
016  18.907707 -80.663391 -20.384428  12.734242
017  16.151245 -80.882202 -19.925488  12.745301
018  17.897018 -80.464966 -18.110367  12.810000
019  19.887377 -80.192581 -21.868946  12.287529
020  19.630571 -80.321182 -23.142818  12.325232
021  15.017355 -81.336609 -21.851629  13.027754
022  13.946529 -80.474480 -19.842007  12.279643
023  12.810385 -80.559418 -21.498997  12.309129
024  19.060276 -80.668343 -24.036877  12.594037
025  11.268812 -80.694473 -23.958258  12.626022
026  13.552418 -81.594246 -26.043854  13.495641
027  11.220938 -80.914948 -26.638947  13.038005
028  22.737450 -80.797935 -24.281382  13.615990
029  23.593935 -80.036591 -26.336502  13.415104
030   9.098124 -80.266151 -26.206135  12.673539
031  13.990290 -81.600388 -28.615339  13.795576
032  11.765976 -80.729805 -28.933138  13.103266
033   8.939257 -80.298370 -28.292124  12.963751
034  17.105495 -81.526894 -28.740320  13.785117
035  15.523415 -81.756775 -29.603708  14.099969
036  12.717669 -81.159607 -29.775652  13.612532
037  10.528641 -80.196236 -29.831966  12.860067
038  24.039282 -79.355011 -29.012182  13.488251
039  11.190207 -80.535553 -31.668461  13.498726
040  13.806549 -81.316338 -32.896919  14.449885
041  23.146198 -80.296143 -31.704075  14.722095
042  24.188343 -79.101723 -31.861269  14.163991
043  17.234186 -81.303940 -29.771009  13.786519
044  16.742573 -81.572891 -32.054047  14.561127
045  11.414711 -80.499344 -33.848236  14.037675
046  23.755108 -79.122200 -33.619865  14.610805
047  21.350143 -80.063660 -34.870090  15.023263
048  19.411160 -81.140961 -33.796406  15.093842
049  17.930117 -81.625908 -30.114441  14.253438
050  18.351267 -81.546249 -32.430798  14.841111
051  12.394648 -80.576836 -34.998554  14.420523
052  16.807322 -80.690895 -35.865532  14.993607
053  19.160589 -80.176094 -36.459446  15.183047
054  20.846186 -78.633415 -37.591522  14.840183
055  13.473217 -80.246063 -36.321678  14.578676
056  17.925297 -79.238312 -38.142784  14.903854
057  16.322521 -80.044907 -37.339935  14.980969
058  14.543377 -79.272507 -38.029793  14.507934
059  14.975025 -78.166809 -38.814671  14.000447
060  19.215588 -79.108032 -15.992338  12.263539
061  17.293318 -79.976013 -16.448792  12.632780
062  19.464329 -80.007164 -17.763512  12.700149
063  16.723722 -78.987068 -15.243555  11.864034
064  14.766951 -79.421585 -15.460646  12.031357
065  20.807638 -79.234734 -17.834295  12.216781
066  21.211639 -78.340630 -17.477360  11.590798
067  14.867973 -80.243607 -17.457344  12.414685
068  12.740753 -79.518105 -17.078400  11.739331
069  20.728733 -79.784622 -19.071186  12.441603
070  21.872301 -78.248131 -19.351570  11.239533
071  20.736477 -79.605331 -20.058002  12.088321
072  11.332830 -79.150543 -19.099545  11.178998
073  20.536821 -78.842964 -21.127174  11.170796
074  19.649139 -78.588608 -22.521656  10.639897
075   9.758551 -79.424232 -20.743105  11.575211
076  19.678747 -80.098694 -23.846752  12.125057
077   9.440271 -79.758034 -22.638357  11.940774
078   8.932405 -79.421791 -24.481892  11.776182
079   8.224770 -78.602188 -23.720964  11.112885
080  21.117842 -81.132507 -24.177420  13.456797
081  22.469244 -79.776855 -23.005306  12.532280
082  21.245716 -79.702148 -22.615755  12.086788
083  21.804314 -78.523102 -21.832050  11.162997
084  23.612236 -78.728638 -23.870926  12.027041
085  24.113546 -78.383194 -25.434826  12.055007
086   7.679499 -78.880386 -25.625082  11.618554
087  24.267782 -78.523117 -27.827232  12.599829
088   6.881947 -79.066597 -26.530363  12.071445
089   7.769536 -79.948982 -27.556730  12.777986
